Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
Hayate the Combat Butler!,3.46 Excellent,"SynergySP Co. ,Ltd.",Manga,Nonsense-Comedy,~25min,TV-Series,52,2007,"16-year-old Hayate has a run of bad luck: his parents have been out of work for a long time, live only for their dreams, and are not afraid to use their son’s hard-earned money for this purpose. To make matters worse, Hayate is given an IOU by them for Christmas. No sooner has he gotten over this shock than he is faced with another: three yakuza are at his door to collect the money for the IOU from him.  When Hayate meets a young girl during his escape from the gangsters, he decides to kidnap her to pay his parents’ debts with the ransom. However, his chosen victim misunderstands his words as a declaration of love. When he saves her during a real kidnapping, she thanks him with a new job: from now on, he can be her “combat butler”!"
Scrapped Princess,3.46 Excellent,BONES Inc.,Light Novel,Adventure,~23min,TV-Series,24,2003,"It has been fifteen years since “the poison that will destroy the world” was born. An ancient prophecy predicts that Pacifica Casull will destroy the world on her sixteenth birthday. That is why she was thrown into a ravine as a baby, in the hope that this would prevent the prophecy from coming true. Miraculously, Pacifica survived and was adopted by a magical family.  Now, as her sixteenth birthday approaches, she is on the run with her stepbrother Shannon – an excellent swordsman – and her stepsister Raquel who has distinct magical abilities. In a world where the Church of Mauser practically pulls all the strings, the trio repeatedly encounters hostility and Pacifica finds herself constantly in mortal danger. Nevertheless, the three also meet friendly people time and time again, such as the “knight” Leo, who falls in love with Pacifica on the spot. Together they try to escape their fate and fight the evil forces."
Genshiken Second Generation,3.48 Excellent,"Production I.G., Inc.",Manga,Comedy,~24min,TV-Series,13,2013,"Another college semester begins and the returning members of Genshiken attempt to recruit new club members. Three new members join the club, attracted by Ogiue’s BL drawings. She welcomes the new members but fears the club will become a ""rotten girls"" haven for yaoi fans and is getting a bit too far removed from it’s original purpose."
Nijuu Mensou no Musume,3.47 Excellent,"BONES Inc., Telecom Animation Film Co., Ltd.",Manga,Adventure,~24min,TV-Series,22,2008,"Chiko, who had been leading a lonely life because of her parents death. Together with the Phantom Thief Nijū-Mensō (20-Faces), she sets out on a journey into the real world. She gradually changes as she encounters new friends and places. But strange events start happening revolving around the mystery of ""Legacy of the 20-Faces"". So Chiko has to move forward, regardless on how checkered her life will become."
Symphogear G,3.47 Excellent,Satelight Inc.,Original Work,Action,~24min,TV-Series,13,2013,"Peace had seemed to return to the world when Hibiki, Tsubasa, and Chris had saved the planet from the Luna Attack with their song. However, 3 months later at a joint concert between Tsubasa Kazanari and foreign superstar Maria Cadenzavna Eve, the Symphogear team is faced with her dangerous declaration of war against the world. Maria and her allies Kirika and Shirabe have a fearful power backing them: The power of a dark Symphogear."
Rozen Maiden: Zurückspulen,3.47 Excellent,"Studio DEEN Co., Ltd.",Manga,Adventure,~25min,TV-Series,13,2013,"Jun Sakurada recieves a strange letter which asks him whether he will wind or not wind. He chooses to wind and soon he shares his home with several living dolls called Rozen Maidens destined to fight each other. Meanwhile, a different Jun Sakurada from an alternate world makes the opposite choice. Years later his decision comes back to haunt him in the form of mysterious text messages from himself asking for help."
Unnamed Memory,3.46 Excellent,ENGI Co.Ltd.,Light Novel,Action Drama,~24min,TV-Series,12,2024,"Prince Oscar has a problem: when he was a child, his family was cursed by a powerful witch so that no woman could bear a child of his bloodline without dying herself. To secure the succession to the throne, the young prince sets out to ask the witch Tinasha, who lives isolated from the world in a magical tower, to break the curse. To get to her, he has to face countless battles against her servant creatures, and when he finally reaches the top floor, he is surprised at whom he finds there. Despite her advanced age, Tinasha looks young, and her power seems on par with the witch who cursed Oscar’s family. So, as a reward for mastering her tower, he demands that she become his wife, as her power is enough to circumvent the curse and ensure the survival of any children they may have. However, Tinasha does not want this, so the two make a pact: Tinasha has to stay at Oscar’s castle for a year and investigate the curse. Will the prince succeed in winning the heart of the beautiful witch, or will the impending conflict lead to the downfall of his kingdom?"
"Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside: Season 2",3.46 Excellent,Studio Flad Ltd.,Light Novel,Comedy,~24min,TV-Series,12,2024,"After Ruti brought her heroic gift under control in the first season, peace can finally reign in Zoltan again. Perfect for starting a family. Red gets engaged to Rit, who, of course, cannot refuse. Together with Ruti, the two decide to search for a beautiful blue sapphire in the Mauer Mountain Range at the end of the world near the Jewel Giants. They also bathe in the hot springs. Could life be any more beautiful and peaceful?  While the old hero troupe retreats into a quiet everyday life, new forces arise. Because in this world, there always has to be a hero. However, since Ruti was able to transform her gift of the hero, that’s exactly who is missing. One shouldn’t give up hope, though, because the gods have sent the new young hero, Van. Together with his comrades, the elf Lavenda, Cardinal Lub and the spearman Esta, he wants to pick up where the supposedly missing Ruti left off. And although Van endeavours to follow the right path, the line between right and wrong can quickly become blurred. Especially, when faith plays too big a role! Can Red also solve this difficult new case with his gift of direction?"
Is the Order a Rabbit?,3.46 Excellent,"WHITE FOX Co., Ltd.",Manga,Comedy,~24min,TV-Series,12,2014,"High school freshman Cocoa Hoto got lost and bumped into a coffee shop called ""Rabbit House"" while looking for a boarding house for the upcoming semester of her new school. Luckily, Rabbit House is the boarding house she’s looking for, and to return the favor Cocoa starts working at the coffee shop alongside quiet and cool Chino, strong and athletic Rize, plus Chiya and Syaro from Japanese-styled coffee shop Amausaan, as well as the shop mascot rabbit Tippy, who sometimes doesn’t quite act like a rabbit...."
The Perfect Insider,3.46 Excellent,A-1 Pictures Inc.,Novel,Crime Fiction,~23min,TV-Series,11,2015,"Sōhei Saikawa is a member of the Saikawa Research Lab. He goes on a vacation held by the lab, and Moe Nishinosono, the daughter of his mentor, joins the group on their vacation despite not being a part of the lab. There, the two end up finding a corpse. The two work together to solve the mysteries of what becomes a serial murder case."
You Are Ms. Servant.,3.47 Excellent,Felix Film,Manga,Romantic Comedy,~23min,TV-Series,12,2024,"Yuki, who is only given this name by her later master, is a woman whose only skill is killing people, as her job from an early age was to be the perfect killer, carrying out every order with cold efficiency and without resistance. But now she wants to leave this past behind her, so she knocks on the door of 15-year-old high school student Hitoyoshi Yokoya, who is currently living alone, to offer him a job as a maid. The thought of having a professional assassin staying at his home worries Hitoyoshi, though, since she saved him from being run over by a lorry shortly after their first encounter with her skills, he can hardly say no. However, Yuki now has to learn what it means to be “normal” in her new role, and ultimately, she knows very little about running a household …"
Teogonia,3.48 Excellent,ASAHI PRODUCTION,Light Novel,Action Drama,~24min,TV-Series,12,2025,"An era of war has taken its course since a seemingly endless horde of half-human tribes, such as orcs and pigmen, began to take over the land of the humans. Even ordinary villagers such as Kai cannot escape the fighting and have no choice but to defend their homeland against the monsters with simple weapons, such as spears or daggers. Many have already died on this mission, and the only way to really counter the superhuman strength of the half-humans is to extract the Godstones from the remains of the invaders. They harbour the strength of their enemies, and those who consume them become more powerful themselves.  As one after another of Kai’s comrades falls and he himself is seriously wounded, he suddenly has memories he shouldn’t have: visions filled with advanced technology and knowledge about life in another world. Driven by the power of the Godstones, he discovers his own magical abilities and faces ever greater trials. Soon, he has managed to heal his fatal injuries and use fire magic in battle, but will his talent really be enough to save his troubled and backward world?"
Midori Days,3.45 Excellent,"Pierrot Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,13,2004,"17-year-old Seiji Sawamura, known as “Mad Dog”, is the biggest thug in the school. He is feared because of his strongest weapon, his right hand, which can knock out entire gangs in a fight. With his parents living abroad, he lives alone with his sister, who is rarely home. That’s probably why Seiji feels so lonely and wants nothing more than a girlfriend. Easier said than done! Because: Seiji is not very popular with the girls. They constantly reject him because they only know him as a rough bruise.  Depressed because, once again, he has been rejected, Seiji lies on his bed and asks loudly for a girlfriend when he suddenly hears a girl screaming. Confused, he runs through the house to see where the scream came from, though when he notices that the voice is always near him, he is horrified to discover that his right hand has become a girl. This girl is none other than Midori, who has been in love with Seiji for many years but has been too shy to confess her love to Seiji. She is happy to be his right hand because she can finally be close to her beloved one. While Seiji and Midori try to come to terms with the new situation, some questions arise: Where is Midori’s real body? And how is Seiji supposed to fight now that his strongest weapon is a little girl …?"
Chrome Shelled Regios,3.45 Excellent,ZEXCS Inc.,Light Novel,Action Drama,~24min,TV-Series,24,2009,"In the distant future, creatures contaminated by pollution have taken over the Earth and forced humanity to live in self-contained mobile cities called Regios. One of these cities is called Czerni and is a self-sufficient school where Layfon Alseif has just begun his education. Reluctantly, he joins the 17th Martial Arts Study Unit, led by Nina Antalk, a third-year student, and including Fellii Loss, a second-year student."
Spy Classroom: Season 2,3.50 Excellent,feel.,Light Novel,?,~24min,TV-Series,12,2023,"The battle between the members of Lamplight, including Lily, and the assassin Corpse took several surprising turns, with both sides deceiving each other. Not only that, but Lily and her companions had not even fought the real target. Klaus and four spies – Thea, Monika, Erna, and Annette – had successfully carried out this hidden mission. While Klaus had already returned home, the girls stayed behind to complete a few remaining tasks and then to take a little break.  But now Klaus has another problem: the four of them should have returned by now and could soon be labelled traitors. Together with Lily, he sets off, determined to find the four girls in the town, but there is plenty of military present to catch a spy from Galgad. On the other hand, the four girls around Thea are having a good time by the pool when they meet a woman who introduces herself as Matilda – and is supposedly Anette’s mother. But because things are not so simple, they soon have to decide between reason and heart …"
Persona 5 the Animation,3.46 Excellent,CloverWorks Inc.,Video Game,Action,~24min,TV-Series,26,2018,"After completing his first year at high school, the student Ren Amamiya transfers to Shuujin High School. At the beginning of the year, a persona ability awakens in the hitherto ordinary student, which allows him to penetrate people’s subconscious and change it. After only a short time, he finds new friends who possess the same ability. Together, the students found the Phantom Thieves of Hearts to take away people’s depravity. Despite the wandering ghosts that have been wreaking havoc in Tokyo lately, the high school students continue to follow their plan. However, will they succeed in purifying their fellow human beings …?"
Management of a Novice Alchemist,3.46 Excellent,ENGI Co.Ltd.,Light Novel,Adventure Comedy,~24min,TV-Series,12,2022,"After her difficult start, the young orphan girl Sarasa has been quite lucky in life. Not only did she successfully complete her training as an alchemist at the royal academy, but her teacher also signs over her first own business to her! Now nothing stands in the way of her dream of leading a quiet, settled life – or so she thinks until she sets eyes on the shop. Not only is it more run-down than she feared, but it is also far away from all the big cities. Will Sarasa still manage to succeed?"
"Studio Apartment, Good Lighting, Angel Included",3.47 Excellent,Okuruto Noboru Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2024,"High school student Shintaro Tokumitsu has been living on his own for some time now and usually gets by just fine. But just as he is coming down with a nasty cold, he finds a girl sleeping in his room, dressed in a very distinctive costume. She introduces herself as Towa and claims to be an angel sent to earth as a messenger of God to establish a good relationship with the people living here. At first, Shintaro is sceptical and doesn’t believe a word Towa says, but after a while doubts begin to arise. Towa is naïve and unworldly, so he reluctantly allows her to live with him for the time being so that no one takes advantage of her good nature. Despite her bumpy start, he slowly but surely begins to believe her story, which upsets his routine."
You and Me,3.46 Excellent,"J.C.STAFF Co., Ltd.",Manga,Comedy,~24min,TV-Series,13,2011,"The good-looking twins Yuuta and Yuuki Asaba, the feminine Shun Matsuoka, and the class president Kaname Tsukahara have known each other since early childhood. Together, they lead an ordinary student life and enjoy spending time together, until one day, a new member joins the group, who throws their everyday lives into disarray. The half-Japanese Chizuru Tachibana is new to the class and brings a lot of ideas and experience with him."
Armed Girl’s Machiavellism,3.45 Excellent,SILVER LINK.,Manga,Action Comedy,~24min,TV-Series,12,2017,"Aichi Symbiosis Academy is a public school ruled by the “Five Ruling Swords”, a group of armed girls who oppress their male schoolmates and improve their bad behaviour. After several generations of female dominance, the school has now set itself the goal of explicitly admitting male troublemakers to correct their behaviour through harsh measures such as wearing women’s clothes.  After an inglorious brawl, Fudou Nomura is transferred to this school, yet he refuses to be bullied by the girls. However, to leave the school with his manhood intact, he must defeat the current ruling swords – the man-hating Rin Onigawara, the mysterious Satori Tamaba, the serious Tsukuyo Inaba, the fencing master Mary Kikakujou, the arrogant Warabi Hanasaka, and also Kirukiru Amou, who fought with him, resulting in his transfer as well as her transfer. Will he manage to stand up to all these battle-hardened girls?"
Meiji Tokyo Renka,3.48 Excellent,"TMS Entertainment Co., Ltd.",Visual Novel,Adventure,~24min,TV-Series,12,2019,"Mei Ayazuki is just an ordinary student, until one night with a full red moon, when she is transported into the Meiji era by Charlie, a self-proclaimed magician. She ends up in an alternative “Tokyo” of the Meiji era, where the existence of ghosts is a common thing. Led by Charlie, she eventually arrives at a place called Rokumeikan. There, the historical personalities Ougai Mori, Shunsou Hishida, Otojirou Kawakami, Kyouka Izumi, Gorou Fujita, Yakumo Koizumi and Tousuke Iwasaki await her.  While interacting with the men, she learns that she is a Tamayori – a person who can see ghosts, which was an ability that was cherished a lot in the Meiji era. Due to these abilities, her relationship with the men changes. As she gets to know these good-looking men in an era she just can‘t get used to, a love starts to grow inside her.  Will Mei be able to return to her time? What will happen to her love – a love that surpasses the boundaries of time and space?"
Love Live! Sunshine!!,3.46 Excellent,SUNRISE Inc.,Original Work,Ganbatte,~24min,TV-Series,13,2016,"“Love Live! Sunshine!!” is about the sociable Chika Takami, who visits Tokyo one day and learns about the former μ’s idol group. She promptly sees her chance to step into the limelight herself. No wonder she is highly motivated to found an idol club at her school, the Uranohoshi Girls’ High School, because up to now, she has never been in a club or shown any particular talent. Although she has the support of her friend You, she still needs to find more willing classmates to join her. As if that were not difficult enough, Dia Kurosawa, the student council’s president, is strictly against the founding of such a club.  Despite all the difficulties, Chika does not give up and finds a first glimmer of hope in transfer student Riko Sakurauchi, a shy piano player. Chika has to do a lot of convincing, though little by little other members join the group, now called Aquors. How far will the girls get? And above all, can they step out of μ’s shadow?"
Sengoku Basara: Samurai Kings 2,3.46 Excellent,"Production I.G., Inc.",Video Game,Action,~24min,TV-Series,12,2010,"Japan’s toughest warlords are on the move, leading massive armies against their rivals in a thrilling quest for total domination. Wielding insane weaponry and unleashing the elements to boost their already awesome power, these warrior generals roar into the fray atop turbo-charged stallions, slicing through the enemy with six blades at once.  They brandish explosive shotguns and swing swords the size of men. They crush the opposition with rolling battle fortresses and incinerate their foes with solar death rays. Hordes of ninja assassins and samurai fight to vanquish every adversary in their sight. As loyalties crumble and new alliances are forged in the scorching heat of battle, heroes become conquerors and conquerors become legends. This is war!"
Possibly the Greatest Alchemist of All Time,3.45 Excellent,"Studio Comet Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2025,"The Holy Empire of Sidonia is part of the magical world of Mirdgard and is currently searching for a troop of heroes to fight alongside it. However, the summoning spell is complex and illegal, and so it happens that the ordinary 40-year-old employee Takumi Iruma is accidentally teleported, even though he was not born to be a hero. This does not go unnoticed by the goddess Norn, who summons him to her abode to apologise for the mistake. To prevent this from happening again, she has also adapted the world’s rules and made it impossible to use the spell – which, ultimately, also makes it impossible for him to return.  So he has no choice but to start a new life in Mirdgard, but at least the goddess wants to give him any ability as an apology. Preferring a peaceful life to the fate of an adventurer, he opts for the alchemy skill, with which he intends to start a career as a merchant in his new, much younger body. However, it turns out to be an extremely powerful force, capable of creating anything his imagination can conjure up. He quickly earns a lot of money and is also drawn into odd fights. Will the quiet life he was dreaming of just a short time ago soon become a distant memory?"
High Card,3.48 Excellent,"Studio Hibari Co., Ltd.",Original Work,Action,~24min,TV-Series,12,2023,"In the North Atlantic is a small island nation called Fourland. It is considered the founder of playing cards. Thus, there are 52 X-cards on the island, all of which hold a secret ability they can pass on to their “player”. One day, however, it happened that all 52 cards were scattered all over the country. To collect all 52 cards, Fourland’s king commissioned the secret organisation High Card, which operates disguised under the luxury car brand Pinochle.  Finn Oldman is the owner of such an X-card, though he does not yet know anything about its mysterious abilities. This is to change, however, when he sets out to collect money for an orphanage and meets Lucky Lunchman in a casino. It soon turns out that behind Lucky’s luck is his X-card, the 10 of diamonds with the ability “Unlucky Poky”. And Finn knows: he needs this card to save the children from the orphanage! But he is not the only one who wants the card. Both High Card and the Klondike mafia family are interested in collecting the cards – and the latter will stop at nothing to get them. Finn experiences this first-hand when he becomes part of a bloody shoot-out followed by a car chase.  Soon, Finn joins High Card and sets out with the other members to find the remaining X-cards and bring them into their possession. Will they succeed and obtain the cards before the Klondikes?"
Ghost Hound,3.45 Excellent,"Production I.G., Inc.",Original Work,Drama,~25min,TV-Series,22,2007,"When reality is just a dream and dreams suddenly become reality …  The three middle school students, Tarou Komori, Makoto Oogami and Masayuki Nakajima, live in a small coastal town in Japan and, at first glance, seem to have nothing in common, but appearances are deceptive! In truth, they share an extraordinary and unavoidable past. And this past slowly begins to catch up with them in a hidden world, the Kakuriyo …"
Magical Girl Lyrical Nanoha,3.45 Excellent,Seven Arcs Ltd.,Original Work,Action Drama,~26min,TV-Series,13,2004,"Yuuno, a young archaeologist from a magical world, has had an accident with his ship and scattered the 21 “Jewel Seeds” all over the earth. To protect people from the powerful artefacts, he immediately tries to collect the out-of-control stones. In a fight against one of the Jewel Seed monsters, however, Yuuno is badly injured and retreats into the animal form of a ferret to recover his strength and heal his wounds.  Unsuspecting, ordinary third-grader Nanoha Takamachi helps the poor ferret and, in return, receives from him magical powers and the wand Raising Heart, which appears purely by willpower whenever she needs it. From that day on, she does her best to collect the Jewel Seeds from another world with her animal companion and protect the people. However, her family and friends are not allowed to know about her struggles as a Magical Girl, and besides, she is not the only one who is after the stones …"
Angels of Death,3.45 Excellent,"J.C.STAFF Co., Ltd.",Video Game,Supernatural Thriller,~24min,TV-Series,12,2018,"When 13-year-old Rachel wakes up, she finds herself in the cellar of an abandoned building. She has lost all her memories and doesn’t know where she is. As she meanders through the building, lonely and dazed, she meets a mysterious boy who introduces himself to her as Zack. He carries a scythe like that of the grim reaper and his entire body is covered in bandages. A strange bond forms between Zack and Rachel, and together they try to escape the building in which they are both trapped."
Go! Go! Loser Ranger! (Season 2),3.57 Excellent,Yostar Pictures Inc.,Manga,Action,~24min,TV-Series,12,2025,
"If My Favorite Pop Idol Made It to the Budokan, I Would Die",3.48 Excellent,"8bit Corp, Inc.",Manga,Comedy,~24min,TV-Series,12,2020,"“If My Favorite Pop Idol Made It to the Budokan, I Would Die” is about a girl called Eripiyo, “Eri” for short, who‘s an extreme idol fan. She is especially fond of Maina, the shy member of the small underground idol group ChamJam that’s giving a concert in the Okayama district. During a performance, Eri is so concentrated on her love for Maina that she gets a heavy nose bleed. Still, Eri wants to give Maina her full devotion until she can perform in the Budoukan, an important venue in Tokyo."
Blade Runner: Black Lotus,3.53 Excellent,SOLA DIGITAL ARTS Inc.,,Action,~22min,TV-Series,13,,
Orient Cour 2,3.48 Excellent,"ACGT Co., Ltd.",Manga,Adventure,~24min,TV-Series,12,2022,"The Uesugi Clan is planning an expedition to Awaji Island, the realm of the eight-headed dragon. Kojirou Kanemaki, who recently discovered that his father came from the Uesugi clan, decides to join the expedition along with his followers. Musashi, who is increasingly struggling with his lack of strength, also joins the military alliance to work on his cooperation skills and become stronger. But the Kokuyouseki no Hachinin do not want to give up the pursuit of Musashi and continue to try to usurp the obsidian goddess slumbering in Musashi’s body, which makes the expedition even more dangerous than actually planned …"
Hourou Musuko Wandering Son,3.46 Excellent,"Anime International Co., Inc.",Manga,Slice of Life Drama,~23min,TV-Series,11,2011,"Shuicihi Nitori appears to be a shy and quiet preteen boy, when he transfers to a new school he quickly makes friends with the tomboyish Yoshino Takatsuki who sits next to him. It soon becomes apparent that both Shucihi and Yoshino are more than simply a sensitive boy and masculine girl, they both are transgendered. Together they decide to take the first steps toward becoming the people they want to be."
Witch Craft Works,3.45 Excellent,"J.C.STAFF Co., Ltd.",Manga,Action Comedy,~24min,TV-Series,12,2014,"Honoka knows his classmate Ayaka is talented in both the pen and the sword, attractive in face and figure, and that everyone at school calls her the Princess. When he gets himself involved in the ""Witch of the Tower"" incident one day after school, however, he learns she is also a witch sent to protect him. From then on, his ordinary school life is completely turned upside down, as he discovers that most of his classmates are not what they seem."
Yozakura Quartet: Hana no Uta,3.46 Excellent,"Tatsunoko Production Co., Ltd.",Manga,Action,~25min,TV-Series,13,2013,"For hundreds of years, the borders of the human and youkai worlds have overlapped, and many supernatural beings have since moved in to live with the mortals. The city of Sakura-shin, in particular, is known for this peaceful coexistence, but it is not a matter of course. Unusual security measures are needed in this metropolis to deal with problems and crimes, which is why the Hiizumi Life Counselling Office was founded, a kind of special police force that ensures law and order. Headed by Akina Hiizumi, who can also send the youkai back to the other world with his magical abilities if worse comes to worst, these specialists are always on hand when people run amok influenced by the powers of the youkai or supernaturally equipped criminal organisations want to make the city unsafe."
Utawarerumono: The False Faces,3.45 Excellent,"WHITE FOX Co., Ltd.",Visual Novel,Adventure,~25min,TV-Series,25,2015,"A nameless man wakes up in a snow-covered forest dressed in a hospital gown with no memories. As he trudges aimlessly, he is pursued by cruel monsters and eventually falls into a cave. There he sees the insect-like monster being devoured by an even more monstrous red slime, which now wants to attack him as well. Only through the help of Kuon, a girl with animal ears and a bushy tail, is he saved at the last second, and she takes him on the way back to the nearby village where, strangely enough, all the inhabitants have fluffy ears or animal-like body parts. She names him Haku, and the two eventually decide to travel together as Kuon is on her way to her home, the capital of Yamato. During their journey, they meet numerous new friends, have to get more and more deeply involved in political events, and, besides Haku’s past, try to find out something about the strange red slimes."
Black Cat,3.44 Excellent,Gonzo K.K.,Manga,Action Comedy,~24min,TV-Series,23,2005,"Train Heartnet is a notorious assassin of Chronos, an organisation of contract killers that pretty much controls the entire world. Having the codename “Black Cat”, he is said to be as cold-blooded, fast and deadly as a cat. However, he is everything but happy with his current life. He realises this once more after meeting Saya, a young, pretty and brave Sweeper (bounty hunter). Through her influence Train begins to think for himself for the first time in his life: what does he want to do? Why should he kill people when he doesn’t even want to be a killer?  On his next mission, when he is supposed to eliminate another target of Chronos again, he … simply doesn’t. Shortly after this “incident” the leaders if the organisation call him in, as expected. He explains to them that he is finished with his senseless killings spree, which would have been his immediate death if it wasn’t for Creed, a traitor of Chronos. He is a lot more dangerous to the world right now, so Train’s elimination must wait for now!  But what does Creed want from Train anyway? Well … he wants him to be a part of his own plan: To create a perfect world! To achieve his goal, he is not afraid to kill Trains beloved ones, starting with the innocent Saya. Any sacrifice is fine with him if it means, that Train can go back to the way he was again. Will Train be able to stop him with Chronos breathing down his neck?"
Salaryman’s Club,3.51 Excellent,LIDEN FILMS Inc.,Original Work,Slice of Life Drama,~23min,TV-Series,12,2022,"Mikoto Shiratori was once considered an exceptional talent in badminton, but after he seriously injured his partner through carelessness during a match in high school, he vowed never to play doubles again and instead to devote himself to his solo career. To this end, he moved to Kyoto after school to play for the successful Mitsuhoshi Bank team. Unfortunately, he does not achieve the desired results and is fired.  On the train ride back to his hometown of Urawa, he gets an unexpected call: he is supposed to accept a job at the company Sunlight Beverage and play for the company’s badminton team. Without further ado, he accepts the job and even looks forward to practising with his new teammates, but to his horror, he is not supposed to play singles, but doubles! And his partner is Tatsuru Miyazumi, of all people, who is quite successful in his job and badminton, but who really forces himself on Mikoto in his partner role. Mikoto now has the choice of remaining unemployed and perhaps no longer getting the chance to pursue his badminton career, or jumping over his own shadow and daring to compete in doubles again. Which choice will he make?"
Children of the Whales,3.45 Excellent,"J.C.STAFF Co., Ltd.",Manga,Drama,~24min,TV-Series,12,2017,"In a world covered in sand, in the year 93, after being exiled, 513 people live on the Mud Whale, a utopian ship the size of an island that drifts aimlessly through the sea of sand. The boy Chakuro is one of them, and just like the other inhabitants of the ship, he has never seen anyone from the outside world. Little is known about the past of their people. Most of them have magical abilities called “Saimia” that drastically shorten life, which is why almost all of them die in their thirties.  When they finally reach another island during their endless journey through the sand sea, an expedition team is sent, including Chakuro. In this strange place, they discover the remains of another civilisation, countless graves and a creature that spreads Saimia. They also meet a young girl named Lykos, who is immediately brought before the community’s council of elders. The Mud Whale then suddenly is targeted by masked soldiers tasked with punishing the inhabitants for a crime they are said to have committed generations ago. The inhabitants are murdered indiscriminately, and even if the attackers are successfully routed, for the time being, victory seems out of reach. The events, however, also awaken hope in some for the possibility of escape from the floating island and a life outside the sea of sand …"
Honobono Log,3.48 Excellent,Fanworks Inc.,Other,Romance,~2min,TV-Series,10,2016,
Dog Days Season 2,3.45 Excellent,Seven Arcs Ltd.,Original Work,Action Comedy,~24min,TV-Series,13,2012,"Cinque’s sporting adventures in Flonyard are not over yet! Three months after he returned to his world, Princess Millhiore needs his help again. The Republic of Biscotti, in addition to the Lion Territory of Galette, now has to face the Principality of Pastillage, led into battle by Princess Couverte Eschenbach. Cinques is supported this time by his childhood friend Rebecca, who nevertheless does not make things easy because his cousin, Nanami, is summoned as a hero by Heika Leonmitchelli and, from now on, competes against him. To make matters worse, Rebecca is also poached by Princess Couverte and, from then on, supports the enemy country Pastillage.  Nanami is an athletic ace in her own right, made even more powerful with the sacred battle staff Ex Machina in her hands, and although Rebecca is rather unathletic, she can keep up with the others with the help of the sacred sword Mercurius and the expertise from her video games. As a result, every kingdom now has a strong hero on its side. Will Cinques manage to win this relentless three-way battle?"
Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,3.45 Excellent,Lerche,Video Game,Drama,~24min,TV-Series,11,2016,"Hopes Peak High School is a special institution that nurtures young people with exceptional talents and abilities. While only the best students are allowed to be part of the main course, anyone can join the preparatory course no matter what skills they have or don’t have. One of these students is now Hajime Hinata, who desperately wants to be part of the elite. Unlike his classmates, who are blessed with fascinating talents, he has no special quality.  His somewhat different class 77-B receives an eccentric new addition as a class teacher in the form of the competent graduate Chisa Yukizome. However, the cheerful newbie has a tough time with her students, who range from nurses to yakuza. While Hajime is getting to know the introverted Chiaki Nanami, the school’s administration is simultaneously planning a terrible project involving him that could bring Hope’s Peak and the entire world to its knees."
Saikano,3.45 Excellent,Gonzo K.K.,Manga,Romantic Drama,~23min,TV-Series,13,2002,"Japan is in a state of war. As the “ultimate” weapon, the military turns the girl Chise into a deadly machine in human form, but her “I”, her soul, and her feelings remain. She is in love with Shuuji. She recently confessed it to him, and he gets involved with her too. He is a high school student and knows nothing of her other self. That changes when their town is bombed for the first time. Chise quickly destroys the enemies, and when she lands, Shuuji sees her in her true form. He has a hard time coming to terms with it. But love keeps them together. But how long does something like this last? How long will it take the opponent to find an effective weapon against them? How will their love stand up to that?"
When Will Ayumu Make His Move?,3.46 Excellent,SILVER LINK.,Manga,Romantic Comedy,~24min,TV-Series,12,2022,"Urushi Yaotome is a gifted Shogi player and in her second year of high school. Her dream is to finally start a full-fledged Shogi club at her school, but for that she needs more regular club members. She has already found one of them in Ayumu Tanaka who is her kouhai and a Shogi beginner. He seems highly motivated to learn Shogi and ultimately beat Urushi.  From her point of view, these are actually good preconditions for him to stick with playing Shogi, and both of them only need two more members for the club now … if it wasn’t for the peculiarity of Ayumu’s confessions where he tells her with a deadly serious expression how cute she looks and constantly compliments her. Of course, her analytical, but with regard to the opposite sex inexperienced mind tries to fathom the motivation behind his comments. But just as easily as she defeats him at Shogi, he knows how to evade her probing questions and embarrass her time and time again …"
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,3.47 Excellent,"Tezuka Productions Co., Ltd.",Light Novel,Romantic Comedy,~25min,TV-Series,12,2023,"From the outside, Lieselotte Riefenstahl is the usual Otome antagonist who torments the heroine and meets an unhappy end. In her diaries, however, a different picture emerges: that of a misunderstood lady who keeps her pain and true feelings for Prince Siegwald hidden.  The two members of the radio club, Aoto Endou and Shihono Kobayashi, decide to play the game and practise for their club through live commentary. But – as astonishing as it may sound – the actual game character Prince Siegwald hears their voices and believes in divine inspiration, as only the royal family can hear it. The two reveal to him a secret that should change the fate of his world forever: Lieselotte is a Tsundere!  Prince Siegwald is overwhelmed by how sweet and adorable his fiancée actually is. As a result, the two live commentators decide to try to avert Lieselotte’s cruel fate. Will they succeed?"
